"タイムスタンプ","出席番号","自分に一番近いと思う特徴は","新しい環境で始めにとる行動は","集団作業で担当しがちな役割は","休日の理想的な過ごし方は","急なトラブルが起きたら","何かを決めるとき重視するのは","初めて挑戦することに対して"
"2026/05/07 3:53:50 午後 GMT+9","1","マイペース","自分から積極的に話しかける","リーダー役","友人や家族と過ごす","周囲と協力する","直感","とりあえずやってみる"
"2026/05/07 3:54:09 午後 GMT+9","26","マイペース","周囲の様子を見ながら馴染む","作業役","友人や家族と過ごす","周囲と協力する","直感","誰かと一緒なら安心"
"2026/05/07 3:54:34 午後 GMT+9","5","マイペース","気が合いそうな人にだけ話しかける","アイデア役","趣味に没頭する","原因を分析してから動く","論理性","慣れてから挑戦したい"
"2026/05/07 3:54:48 午後 GMT+9","23","マイペース","周囲の様子を見ながら馴染む","サポート役","友人や家族と過ごす","周囲と協力する","直感","慣れてから挑戦したい"
"2026/05/07 3:55:37 午後 GMT+9","18","マイペース","気が合いそうな人にだけ話しかける","サポート役","外出して新しい体験をする","周囲と協力する","直感","誰かと一緒なら安心"
"2026/05/07 3:55:46 午後 GMT+9","22","マイペース","自分から積極的に話しかける","サポート役","友人や家族と過ごす","状況が落ち着くまで様子見","周囲との調和","誰かと一緒なら安心"
"2026/05/07 3:55:51 午後 GMT+9","13","面倒見がいい","周囲の様子を見ながら馴染む","リーダー役","友人や家族と過ごす","周囲と協力する","直感","とりあえずやってみる"
"2026/05/07 3:56:21 午後 GMT+9","12","マイペース","周囲の様子を見ながら馴染む","サポート役","外出して新しい体験をする","状況が落ち着くまで様子見","直感","誰かと一緒なら安心"
"2026/05/07 3:57:22 午後 GMT+9","4","マイペース","周囲の様子を見ながら馴染む","リーダー役","友人や家族と過ごす","状況が落ち着くまで様子見","安定感","とりあえずやってみる"
"2026/05/07 3:57:23 午後 GMT+9","6","マイペース","周囲の様子を見ながら馴染む","リーダー役","のんびり休む","とにかくすぐ動く","周囲との調和","慣れてから挑戦したい"
"2026/05/07 3:57:54 午後 GMT+9","24","行動力がある","自分から積極的に話しかける","作業役","友人や家族と過ごす","周囲と協力する","周囲との調和","誰かと一緒なら安心"
"2026/05/07 3:59:35 午後 GMT+9","25","マイペース","必要があるまで静かにしている","アイデア役","のんびり休む","原因を分析してから動く","周囲との調和","情報を集めて準備したい"
"2026/05/07 4:00:10 午後 GMT+9","9","行動力がある","気が合いそうな人にだけ話しかける","サポート役","友人や家族と過ごす","周囲と協力する","直感","情報を集めて準備したい"
"2026/05/07 4:01:02 午後 GMT+9","17","マイペース","気が合いそうな人にだけ話しかける","リーダー役","趣味に没頭する","原因を分析してから動く","論理性","とりあえずやってみる"
"2026/05/07 4:34:16 午後 GMT+9","14","慎重で堅実","必要があるまで静かにしている","作業役","趣味に没頭する","原因を分析してから動く","周囲との調和","情報を集めて準備したい"
"2026/05/07 6:59:41 午後 GMT+9","2","行動力がある","周囲の様子を見ながら馴染む","リーダー役","のんびり休む","とにかくすぐ動く","直感","誰かと一緒なら安心"
"2026/05/07 8:38:52 午後 GMT+9","10","マイペース","自分から積極的に話しかける","リーダー役","外出して新しい体験をする","とにかくすぐ動く","直感","とりあえずやってみる"
"2026/05/09 12:34:58 午前 GMT+9","15","マイペース","自分から積極的に話しかける","作業役","趣味に没頭する","とにかくすぐ動く","直感","とりあえずやってみる"
"2026/05/10 9:21:39 午前 GMT+9","31","面倒見がいい","自分から積極的に話しかける","サポート役","趣味に没頭する","とにかくすぐ動く","直感","情報を集めて準備したい"
"2026/05/10 9:58:42 午前 GMT+9","40","行動力がある","周囲の様子を見ながら馴染む","リーダー役","友人や家族と過ごす","とにかくすぐ動く","直感","誰かと一緒なら安心"
"2026/05/10 3:00:49 午後 GMT+9","27","マイペース","自分から積極的に話しかける","アイデア役","友人や家族と過ごす","周囲と協力する","直感","とりあえずやってみる"
"2026/05/10 5:28:53 午後 GMT+9","32","マイペース","周囲の様子を見ながら馴染む","作業役","趣味に没頭する","周囲と協力する","直感","誰かと一緒なら安心"
